Inf;Jogador;Nação;Clube;Posição;Expira;Data de Início do Contrato;Bravura;Agressividade;(Tendência) para Saídas da Baliza;Lançamentos;Idade;Posição;Pé Preferido;Nação de Nascimento;Altura;Região Nascimento;Data Nasc.;Melhor Pos;Susceptibilidade a Lesões;Emprestado Por;Último Clube;2ª Nac;Selecção Nacional;Unique ID;Técnica;Desarme;Marcação de Penáltis;Passe;Marcação;Lançamentos Longos;Remates de Longe;Cabeceamento;Livres;Primeiro Toque;Finalização;Finta;Cruzamentos;Cantos;Força;Resistência;Velocidade;Aptidão Física;Impulsão;Equilíbrio;Agilidade;Aceleração;Índice de Trabalho;Visão de Jogo;Posicionamento;Trabalho de Equipa;Sem Bola;Liderança;Imprevisibilidade;Determinação;Decisões;Concentração;Compostura;Antecipação;Saídas a Punhos;Reflexos;Pontapé;Um Para Um;Jogo de Mãos;Comunicação;Alcance Aéreo
;Nicolás Acevedo;URU;EC Bahia;MD, M (C);31/12/2029;1/1/2025;10-16;10-14;1-6;3-7;26;MD, M (C);Pé Direito;Uruguai;1,73 m;Montevideo;14/4/1999;MD;Acima da Média;;NYCFC;;;78094472;9-13;12-18;6-10;10-14;11-15;6-10;7-11;8-14;4-10;12-16;6-12;9-13;7-11;6-10;13-17;9-13;10-16;11-15;5-9;9-15;10-14;10-14;10-14;9-15;9-15;12-18;9-13;11-15;8-12;11-15;9-13;10-14;12-16;12-16;1-2;1-4;1-5;1-4;1-5;3-7;1-6
;Luciano Acosta;ARG;Fluminense;MO (C);31/12/2028;8/8/2025;10-14;10-14;1-4;1-7;31;MO (C);Pé Direito;Argentina;1,61 m;;31/5/1994;MO (C);Média;;FC Dallas;E.U.A.;;14031418;12-18;2-6;11-15;15-19;1-4;2-8;9-15;5-9;11-15;13-19;12-16;13-17;14-18;10-14;4-10;9-15;12-16;14-18;1-3;10-14;13-17;14-18;9-15;13-17;2-6;11-15;13-17;8-12;11-15;10-16;10-16;8-12;11-17;12-16;1-3;1-3;1-4;1;1-5;1-5;2-6
;Adalberto;BRA;Fluminense;D (C);31/12/2027;20/1/2025;-;-;-;-;17;D (C);Pé Preferido Desconhecido;Brasil;1,95 m;;21/3/2008;D (C);Abaixo da Média;;-;;;2000479538;-;12-20;-;-;9-15;-;-;12-20;-;4-10;-;-;-;-;7-13;-;-;-;11-17;-;-;-;-;-;2-10;-;-;-;-;8-14;-;-;-;-;-;-;-;-;-;-;-
Prt;Ademir;BRA;EC Bahia;M (D), MO (DE);31/12/2026;10/6/2025;7-11;6-12;3-7;1-4;30;M (D), MO (DE);Pé Esquerdo;Brasil;1,72 m;São Paulo;16/2/1995;MO (D);Abaixo da Média;;Atlético Mineiro;;;19409404;10-14;11-15;12-18;8-14;6-10;3-7;10-14;8-12;6-10;10-14;5-9;13-19;7-13;8-12;6-10;12-16;15-19;9-15;6-10;6-10;12-18;12-18;12-16;12-16;3-7;12-16;11-17;4-10;12-16;10-14;8-12;8-12;7-11;10-16;1-4;1;1-5;1-3;1-5;1-4;4-8
;Adriano;BRA;Botafogo;M/MO (C);31/1/2027;1/3/2024;-;-;-;-;19;M/MO (C);Pé Preferido Desconhecido;Brasil;1,68 m;;13/3/2006;MO (C);Média;;-;;;2000273226;9-15;-;-;5-12;-;-;5-11;-;-;4-13;4-12;-;-;-;-;-;-;-;-;-;-;-;-;7-13;-;-;-;-;7-16;-;-;-;4-13;-;-;-;-;-;-;-;-
;Adrielson;BRA;Grêmio;MO (D);1/2/2027;1/2/2025;-;-;-;-;17;MO (D);Pé Preferido Desconhecido;Brasil;1,75 m;;29/8/2008;MO (D);Acima da Média;;-;;;2000491986;-;-;-;6-12;-;-;-;-;-;11-19;1-11;9-15;6-12;-;-;-;9-19;-;-;-;11-17;7-13;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
;Adson;BRA;Vasco da Gama;MO (DEC);31/12/2028;24/1/2024;11;7;1;1;25;MO (DEC);Somente Pé Esquerdo;Brasil;1,71 m;Goiás;6/10/2000;MO (E);Alta;;FC Nantes;;;19380038;14;10;10;13;9;5;10;9;9;14;11;15;9;10;5;13;14;14;6;11;16;14;14;12;5;13;15;6;14;13;12;10;11;12;2;1;1;2;1;2;1
;Agner;BRA;Fluminense;MO (C), PL (C);31/12/2026;13/7/2023;-;-;-;-;20;MO (C), PL (C);Pé Preferido Desconhecido;Brasil;1,87 m;Rio de Janeiro;22/3/2005;MO (C);Média;;-;;;2000219519;13-20;-;-;11-17;-;-;8-15;-;-;8-16;8-17;-;-;-;-;-;-;-;-;-;-;-;-;6-13;-;-;-;-;9-15;-;-;-;5-13;-;-;-;-;-;-;-;-
;Daniel Aguilar;COL;Athletico-PR;M/MO (DE);31/12/2027;29/12/2025;1-7;-;-;-;22;M/MO (DE);Usa Ambos os Pés;Colômbia;1,74 m;Andina;12/12/2003;M/MO (E);Média;;Envigado Palmira F.C.;;;2000243092;9-14;-;1-6;8-13;-;-;5-10;-;3-9;6-13;3-9;13-18;5-10;4-11;1-6;5-10;9-14;7-12;6-13;4-10;9-14;8-13;10-15;2-7;-;4-9;7-12;1-4;9-16;1-8;7-12;-;1-7;-;-;-;-;-;-;-;-
;Braian Aguirre;ARG;SC Internacional;D (DE), M (D);31/12/2028;2/9/2024;9-15;10-14;1-7;1-5;25;D (DE), M (D);Pé Direito;Argentina;1,75 m;Buenos Aires;28/7/2000;D (D);Média;;Lanús;;;14247637;9-13;11-17;6-10;9-13;11-15;11-15;7-11;6-12;7-13;14-18;6-12;10-14;11-15;6-10;10-14;11-15;11-17;11-15;6-10;6-12;11-15;11-15;10-14;9-15;9-15;12-18;11-15;11-15;3-7;13-17;8-12;9-13;14-18;11-15;1;1-3;1-3;1-5;2-6;3-7;1-7
